seq,ts_ns,event,order_id,side,type,price,quantity
40000,36409707492787,NEW,14817113,BUY,LIMIT,2081300,25
40001,36409707714095,NEW,14817117,BUY,LIMIT,2081200,25
40002,36409926155445,CANCEL,14817109,BUY,LIMIT,2081400,25
40003,36409926157308,CANCEL,14817113,BUY,LIMIT,2081300,25
40004,36409926157585,CANCEL,14817117,BUY,LIMIT,2081200,25
40005,36409971306367,NEW,14818401,BUY,LIMIT,2081400,25
40006,36409971466702,NEW,14818405,BUY,LIMIT,2081300,25
40007,36409974636046,NEW,14818417,BUY,LIMIT,2081200,25
40008,36410008658035,CANCEL,14818401,BUY,LIMIT,2081400,25
40009,36410008659766,CANCEL,14818417,BUY,LIMIT,2081200,25
40010,36410008660052,CANCEL,14818405,BUY,LIMIT,2081300,25
40011,36410009918655,NEW,14818533,SELL,LIMIT,2082700,25
40012,36410111299870,NEW,14818901,SELL,LIMIT,2082800,25
40013,36410119969501,NEW,14818937,SELL,LIMIT,2082900,25
40014,36410151536664,CANCEL,14818533,SELL,LIMIT,2082700,25
40015,36410151538434,CANCEL,14818937,SELL,LIMIT,2082900,25
40016,36410151539832,CANCEL,14818901,SELL,LIMIT,2082800,25
40017,36410224592400,NEW,14819341,BUY,LIMIT,2081400,25
40018,36410224826907,NEW,14819345,BUY,LIMIT,2081300,25
40019,36410225053674,NEW,14819349,BUY,LIMIT,2081200,25
40020,36410272955298,CANCEL,14819341,BUY,LIMIT,2081400,25
40021,36410272957218,CANCEL,14819345,BUY,LIMIT,2081300,25
40022,36410272957525,CANCEL,14819349,BUY,LIMIT,2081200,25
40023,36410345074179,NEW,14819857,SELL,LIMIT,2082700,25
40024,36410345193900,NEW,14819861,SELL,LIMIT,2082800,25
40025,36410346767952,NEW,14819917,SELL,LIMIT,2082900,25
40026,36410407947695,CANCEL,14819857,SELL,LIMIT,2082700,25
40027,36410407948811,CANCEL,14819917,SELL,LIMIT,2082900,25
40028,36410407949066,CANCEL,14819861,SELL,LIMIT,2082800,25
40029,36410716672394,NEW,14823249,BUY,LIMIT,2081400,25
40030,36410717445857,CANCEL,14823249,BUY,LIMIT,2081400,25
40031,36410773965256,NEW,14823465,BUY,LIMIT,2081400,25
40032,36410774127702,NEW,14823469,BUY,LIMIT,2081300,25
40033,36410774233725,NEW,14823473,BUY,LIMIT,2081200,25
40034,36410780618074,NEW,14823541,BUY,LIMIT,2081100,25
40035,36410780821424,NEW,14823545,SELL,LIMIT,2082000,25
40036,36410780917357,CANCEL,14794177,SELL,LIMIT,2082600,15
40037,36410781275028,CANCEL,14823473,BUY,LIMIT,2081200,25
40038,36410781275300,CANCEL,14823541,BUY,LIMIT,2081100,25
40039,36410781473305,CANCEL,14785337,SELL,LIMIT,2082500,25
40040,36410781788056,NEW,14823565,BUY,LIMIT,2081200,25
40041,36410781899624,NEW,14823569,BUY,LIMIT,2081100,25
40042,36410782031841,NEW,14823577,BUY,LIMIT,2081000,25
40043,36410782862359,CANCEL,14823565,BUY,LIMIT,2081200,25
40044,36410782864987,CANCEL,14823569,BUY,LIMIT,2081100,25
40045,36410782865186,CANCEL,14823577,BUY,LIMIT,2081000,25
40046,36410785313867,NEW,14823617,BUY,LIMIT,2081200,25
40047,36410785732206,NEW,14823629,BUY,LIMIT,2081100,25
40048,36410786232273,NEW,14823645,BUY,LIMIT,2081000,25
40049,36410786882865,CANCEL,14823617,BUY,LIMIT,2081200,25
40050,36410786883122,CANCEL,14823629,BUY,LIMIT,2081100,25
40051,36410786884758,CANCEL,14823645,BUY,LIMIT,2081000,25
40052,36410790239419,NEW,14823689,BUY,LIMIT,2081200,25
40053,36410790401445,NEW,14823693,BUY,LIMIT,2081100,25
40054,36410790574460,NEW,14823697,BUY,LIMIT,2081000,25
40055,36410792773982,CANCEL,14823689,BUY,LIMIT,2081200,25
40056,36410792775064,CANCEL,14823693,BUY,LIMIT,2081100,25
40057,36410792775341,CANCEL,14823697,BUY,LIMIT,2081000,25
