seq,ts_ns,event,order_id,side,type,price,quantity
1,29481812624560,NEW,99670,SELL,LIMIT,522300,200
2,29481813879054,CANCEL,99670,SELL,LIMIT,522300,200
3,30472260311394,NEW,142078,SELL,LIMIT,521400,200
4,30472261348645,CANCEL,142078,SELL,LIMIT,521400,200
5,30473505619621,NEW,142154,SELL,LIMIT,521300,200
6,30473506653386,CANCEL,142154,SELL,LIMIT,521300,200
7,30523427257070,NEW,144302,BUY,LIMIT,516900,200
8,30523428292482,CANCEL,144302,BUY,LIMIT,516900,200
9,30564837948386,NEW,145346,BUY,LIMIT,516300,200
10,30564838985041,CANCEL,145346,BUY,LIMIT,516300,200
11,30570121804679,NEW,145462,BUY,LIMIT,516300,200
12,30570122839726,CANCEL,145462,BUY,LIMIT,516300,200
13,30576410340270,NEW,145698,BUY,LIMIT,516300,200
14,30576411599402,CANCEL,145698,BUY,LIMIT,516300,200
15,30580403820853,NEW,145882,BUY,LIMIT,516300,200
16,30580404602457,NEW,145886,BUY,LIMIT,516600,200
17,30580404865695,CANCEL,145882,BUY,LIMIT,516300,200
18,30580406018303,CANCEL,145886,BUY,LIMIT,516600,200
19,30585445792974,NEW,146014,BUY,LIMIT,516300,200
20,30585446818986,CANCEL,146014,BUY,LIMIT,516300,200
21,30659627826512,NEW,153570,SELL,LIMIT,519100,200
22,30659627854791,NEW,153586,SELL,LIMIT,519100,200
23,30659629972187,CANCEL,153570,SELL,LIMIT,519100,200
24,30659630444007,CANCEL,153586,SELL,LIMIT,519100,200
25,30700361425024,NEW,157098,BUY,LIMIT,516300,200
26,30700362474105,CANCEL,157098,BUY,LIMIT,516300,200
27,30701753000188,NEW,157182,SELL,LIMIT,516800,200
28,30701754034941,CANCEL,157182,SELL,LIMIT,516800,200
29,30954317194676,NEW,180430,BUY,LIMIT,516600,200
30,30954318526191,CANCEL,180430,BUY,LIMIT,516600,200
31,30954339208016,NEW,180474,BUY,LIMIT,516600,200
32,30954340674464,CANCEL,180474,BUY,LIMIT,516600,200
33,30964040496890,NEW,181062,BUY,LIMIT,516600,200
34,30964041753124,CANCEL,181062,BUY,LIMIT,516600,200
35,30969757918945,NEW,181722,SELL,LIMIT,518900,200
36,30969759058193,CANCEL,181722,SELL,LIMIT,518900,200
37,30975428849412,NEW,182326,SELL,LIMIT,518800,200
38,30975429916275,CANCEL,182326,SELL,LIMIT,518800,200
39,31082287598916,NEW,188614,SELL,LIMIT,518800,200
40,31082288641758,CANCEL,188614,SELL,LIMIT,518800,200
41,31245698133114,NEW,197278,BUY,LIMIT,515700,200
42,31245699393685,CANCEL,197278,BUY,LIMIT,515700,200
43,31292522995401,NEW,200062,BUY,LIMIT,515700,200
44,31292524551095,CANCEL,200062,BUY,LIMIT,515700,200
45,31293051413633,NEW,200190,BUY,LIMIT,515700,200
46,31293052441970,CANCEL,200190,BUY,LIMIT,515700,200
47,31293582302551,NEW,200222,BUY,LIMIT,515700,200
48,31293583346266,CANCEL,200222,BUY,LIMIT,515700,200
49,31294408301967,NEW,200346,BUY,LIMIT,515700,200
50,31294409431790,CANCEL,200346,BUY,LIMIT,515700,200
51,31337089612622,NEW,202830,BUY,LIMIT,515700,200
52,31337090637331,CANCEL,202830,BUY,LIMIT,515700,200
53,31411787220600,NEW,209526,BUY,LIMIT,515700,200
54,31411788478349,CANCEL,209526,BUY,LIMIT,515700,200
55,31482718276503,NEW,214410,BUY,LIMIT,515700,200
56,31482719311150,CANCEL,214410,BUY,LIMIT,515700,200
57,31759587640320,NEW,235042,SELL,LIMIT,517300,200
58,31759589326295,CANCEL,235042,SELL,LIMIT,517300,200
59,31779679310501,NEW,237010,SELL,LIMIT,517400,200
60,31779680352821,CANCEL,237010,SELL,LIMIT,517400,200
61,31863684349615,NEW,244470,SELL,LIMIT,517300,200
62,31863685614262,CANCEL,244470,SELL,LIMIT,517300,200
63,32037676910989,NEW,261722,BUY,LIMIT,485300,100
64,32037676927803,NEW,261726,SELL,LIMIT,546900,100
65,33727321360867,NEW,465330,BUY,LIMIT,515600,200
66,33727322409999,CANCEL,465330,BUY,LIMIT,515600,200
67,33727329367843,NEW,465346,BUY,LIMIT,515600,200
68,33727330396293,CANCEL,465346,BUY,LIMIT,515600,200
69,33727334775831,NEW,465378,BUY,LIMIT,515600,200
70,33727335801510,CANCEL,465378,BUY,LIMIT,515600,200
71,33907617045183,NEW,486982,BUY,LIMIT,515800,200
72,33907618074786,CANCEL,486982,BUY,LIMIT,515800,200
73,34054152443831,NEW,506754,BUY,LIMIT,513600,2600
74,34054152630482,NEW,506758,SELL,LIMIT,521100,2600
75,34080065624152,NEW,515090,BUY,LIMIT,515800,200
