seq,ts_ns,event,order_id,side,type,price,quantity
50000,39270637336647,NEW,27324467,SELL,LIMIT,1409600,100
50001,39270637600069,NEW,27324471,SELL,LIMIT,1409700,100
50002,39270645510393,CANCEL,27324467,SELL,LIMIT,1409600,100
50003,39270645511553,CANCEL,27324471,SELL,LIMIT,1409700,100
50004,39270669155688,NEW,27324595,SELL,LIMIT,1409600,100
50005,39270670503054,CANCEL,27324595,SELL,LIMIT,1409600,100
50006,39270766939626,NEW,27325027,SELL,LIMIT,1409600,100
50007,39270767238489,NEW,27325035,SELL,LIMIT,1409700,100
50008,39270960541514,CANCEL,27325027,SELL,LIMIT,1409600,100
50009,39270960542623,CANCEL,27325035,SELL,LIMIT,1409700,100
50010,39270989793288,NEW,27325511,SELL,LIMIT,1409600,100
50011,39271055070854,CANCEL,27325511,SELL,LIMIT,1409600,100
50012,39271080901018,NEW,27325875,BUY,LIMIT,1408700,100
50013,39271081030523,NEW,27325883,SELL,LIMIT,1409200,100
50014,39271081104385,NEW,27325887,BUY,LIMIT,1408600,100
50015,39271081729545,CANCEL,27325875,BUY,LIMIT,1408700,100
50016,39271081732284,CANCEL,27325887,BUY,LIMIT,1408600,100
50017,39271157552668,CANCEL,27325883,SELL,LIMIT,1409200,100
50018,39271167779763,NEW,27326379,BUY,LIMIT,1408700,100
50019,39271167992426,NEW,27326383,BUY,LIMIT,1408600,100
50020,39271168564975,CANCEL,27326379,BUY,LIMIT,1408700,100
50021,39271168565298,CANCEL,27326383,BUY,LIMIT,1408600,100
50022,39271181817341,NEW,27326419,BUY,LIMIT,1408700,100
50023,39271182017154,NEW,27326427,BUY,LIMIT,1408600,100
50024,39271185948721,NEW,27326451,SELL,LIMIT,1409200,100
50025,39271195311378,CANCEL,27326451,SELL,LIMIT,1409200,100
50026,39271195613372,CANCEL,27326419,BUY,LIMIT,1408700,100
50027,39271195614437,CANCEL,27326427,BUY,LIMIT,1408600,100
50028,39271205484405,NEW,27326503,BUY,LIMIT,1408700,100
50029,39271205944333,NEW,27326511,BUY,LIMIT,1408600,100
50030,39271207820170,NEW,27326575,SELL,LIMIT,1409200,100
50031,39271330955145,CANCEL,27326503,BUY,LIMIT,1408700,100
50032,39271330956232,CANCEL,27326511,BUY,LIMIT,1408600,100
50033,39271331319176,CANCEL,27326575,SELL,LIMIT,1409200,100
50034,39271445491315,NEW,27327427,BUY,LIMIT,1408700,100
50035,39271446068732,NEW,27327435,SELL,LIMIT,1409200,100
50036,39271480958275,NEW,27327559,BUY,LIMIT,1408600,100
50037,39271486498264,CANCEL,27327427,BUY,LIMIT,1408700,100
50038,39271486499380,CANCEL,27327559,BUY,LIMIT,1408600,100
50039,39271486592077,CANCEL,27327435,SELL,LIMIT,1409200,100
50040,39271486838705,NEW,27327595,SELL,LIMIT,1409200,100
50041,39271489281632,NEW,27327607,BUY,LIMIT,1408700,100
50042,39271489837583,NEW,27327615,BUY,LIMIT,1408600,100
50043,39271691526911,CANCEL,27327607,BUY,LIMIT,1408700,100
50044,39271691527169,CANCEL,27327615,BUY,LIMIT,1408600,100
50045,39271692138591,CANCEL,27327595,SELL,LIMIT,1409200,100
50046,39271695460969,NEW,27328123,BUY,LIMIT,1408700,100
50047,39271695993565,NEW,27328131,SELL,LIMIT,1409200,100
50048,39271746149477,CANCEL,27328123,BUY,LIMIT,1408700,100
50049,39271746650044,NEW,27328347,BUY,LIMIT,1408700,100
50050,39272064620464,CANCEL,27328347,BUY,LIMIT,1408700,100
50051,39272065106641,CANCEL,27328131,SELL,LIMIT,1409200,100
50052,39272262276318,NEW,27329507,BUY,LIMIT,1408700,100
50053,39272262346793,NEW,27329511,SELL,LIMIT,1409200,100
50054,39272384919278,CANCEL,27329507,BUY,LIMIT,1408700,100
50055,39272385185482,CANCEL,27329511,SELL,LIMIT,1409200,100
50056,39272601364902,NEW,27330251,BUY,LIMIT,1408700,100
50057,39272605151291,NEW,27330279,SELL,LIMIT,1409200,100
50058,39272916770961,CANCEL,27330279,SELL,LIMIT,1409200,100
50059,39273086201330,CANCEL,27330251,BUY,LIMIT,1408700,100
50060,39273113390786,NEW,27331887,BUY,LIMIT,1408700,100
50061,39273121181442,CANCEL,27331887,BUY,LIMIT,1408700,100
50062,39273126082061,NEW,27332063,BUY,LIMIT,1408700,100
50063,39273132058330,CANCEL,27332063,BUY,LIMIT,1408700,100
50064,39274509070570,NEW,27336335,SELL,LIMIT,1409600,100
50065,39274532476496,CANCEL,27315471,SELL,LIMIT,1409300,100
50066,39274533627360,CANCEL,27315431,BUY,LIMIT,1408800,100
50067,39274533846047,NEW,27336799,SELL,LIMIT,1409700,100
50068,39274534463591,CANCEL,27336799,SELL,LIMIT,1409700,100
50069,39274654808100,NEW,27337187,SELL,LIMIT,1409300,100
50070,39274707548949,NEW,27337303,BUY,LIMIT,1408800,100
50071,39274772546969,CANCEL,27337303,BUY,LIMIT,1408800,100
50072,39274773131145,CANCEL,27337187,SELL,LIMIT,1409300,100
50073,39274891378159,NEW,27338863,SELL,LIMIT,1409300,100
50074,39275089666748,CANCEL,27338863,SELL,LIMIT,1409300,100
50075,39275232933372,NEW,27340287,SELL,LIMIT,1409300,100
50076,39275882371812,CANCEL,27340287,SELL,LIMIT,1409300,100
50077,39276598927743,NEW,27343747,SELL,LIMIT,1409300,100
50078,39276880508989,CANCEL,27343747,SELL,LIMIT,1409300,100
50079,39276891241034,NEW,27344807,SELL,LIMIT,1409700,100
50080,39276892050369,NEW,27344991,BUY,LIMIT,1409200,100
