seq,ts_ns,event,order_id,side,type,price,quantity
1,1,NEW,1,BUY,LIMIT,1000000,300
2,1,NEW,2,SELL,LIMIT,1000100,300
3,1,NEW,3,BUY,LIMIT,999900,300
4,1,NEW,4,SELL,LIMIT,1000200,300
5,1,NEW,5,BUY,LIMIT,999800,300
6,1,NEW,6,SELL,LIMIT,1000300,300
7,1,NEW,7,BUY,LIMIT,999700,300
8,1,NEW,8,SELL,LIMIT,1000400,300
9,1,NEW,9,BUY,LIMIT,999600,300
10,1,NEW,10,SELL,LIMIT,1000500,300
11,1,NEW,11,BUY,LIMIT,999500,300
12,1,NEW,12,SELL,LIMIT,1000600,300
13,1,NEW,13,BUY,LIMIT,999400,300
14,1,NEW,14,SELL,LIMIT,1000700,300
15,1,NEW,15,BUY,LIMIT,999300,300
16,1,NEW,16,SELL,LIMIT,1000800,300
17,1,NEW,17,BUY,LIMIT,999200,300
18,1,NEW,18,SELL,LIMIT,1000900,300
19,1,NEW,19,BUY,LIMIT,999100,300
20,1,NEW,20,SELL,LIMIT,1001000,300
21,34007940,CANCEL,1,BUY,LIMIT,1000000,300
22,128061293,NEW,21,SELL,LIMIT,1000600,28
23,263657075,CANCEL,9,BUY,LIMIT,999600,300
24,284986148,CANCEL,18,SELL,LIMIT,1000900,300
25,292541835,CANCEL,10,SELL,LIMIT,1000500,300
26,531448051,CANCEL,7,BUY,LIMIT,999700,300
27,578236343,CANCEL,16,SELL,LIMIT,1000800,300
28,658712467,CANCEL,3,BUY,LIMIT,999900,300
29,665475184,NEW,22,BUY,LIMIT,999200,28
30,728672461,CANCEL,12,SELL,LIMIT,1000600,300
31,731185704,CANCEL,19,BUY,LIMIT,999100,300
32,793669018,CANCEL,4,SELL,LIMIT,1000200,300
33,849711242,NEW,23,SELL,LIMIT,1000700,31
34,948825782,NEW,24,SELL,LIMIT,1000700,45
35,981074594,CANCEL,2,SELL,LIMIT,1000100,300
36,1145173373,CANCEL,13,BUY,LIMIT,999400,300
37,1280917275,CANCEL,8,SELL,LIMIT,1000400,300
38,1333096127,CANCEL,20,SELL,LIMIT,1001000,300
39,1355415301,CANCEL,11,BUY,LIMIT,999500,300
40,1366016586,NEW,25,BUY,LIMIT,999100,25
41,1420316603,CANCEL,14,SELL,LIMIT,1000700,300
42,1477094603,CANCEL,6,SELL,LIMIT,1000300,300
43,1495175363,CANCEL,24,SELL,LIMIT,1000700,45
44,1769438659,CANCEL,15,BUY,LIMIT,999300,300
45,1839322739,NEW,26,BUY,LIMIT,1000400,28
46,1875257418,CANCEL,5,BUY,LIMIT,999800,300
47,2048295854,NEW,27,BUY,LIMIT,999400,25
48,2048480132,NEW,28,BUY,LIMIT,999100,33
49,2372357940,NEW,29,SELL,LIMIT,1001100,27
50,2794563740,NEW,30,SELL,LIMIT,1001400,29
51,3042999175,NEW,31,SELL,LIMIT,1001000,38
52,3110278911,NEW,32,BUY,LIMIT,999900,23
53,3128402289,NEW,33,BUY,LIMIT,999700,24
54,3283285198,CANCEL,26,BUY,LIMIT,1000400,28
55,3467255021,CANCEL,17,BUY,LIMIT,999200,300
56,3646028259,NEW,34,BUY,LIMIT,999100,31
57,3809394189,NEW,35,SELL,LIMIT,1001200,29
58,3856986074,NEW,36,BUY,LIMIT,1000100,32
59,4018840835,NEW,37,BUY,LIMIT,999700,34
60,4712639824,NEW,38,BUY,LIMIT,999400,31
61,4961023763,NEW,39,SELL,LIMIT,1001000,7
62,5148999844,CANCEL,37,BUY,LIMIT,999700,34
63,5315677985,NEW,40,SELL,LIMIT,1000800,24
64,5786046383,NEW,41,SELL,LIMIT,1000500,31
65,5950889471,NEW,42,SELL,LIMIT,1001100,19
66,6053940348,CANCEL,28,BUY,LIMIT,999100,33
67,6306038297,CANCEL,38,BUY,LIMIT,999400,31
68,6693258438,NEW,43,SELL,LIMIT,1000800,25
69,7379337286,NEW,44,BUY,LIMIT,999600,30
70,7679925983,NEW,45,BUY,LIMIT,999600,28
71,8212825394,CANCEL,21,SELL,LIMIT,1000600,28
72,8283512346,NEW,46,SELL,LIMIT,1000900,25
73,8293013122,CANCEL,42,SELL,LIMIT,1001100,19
74,8382157984,NEW,47,SELL,LIMIT,1000900,25
75,8425369888,NEW,48,BUY,LIMIT,999100,25
76,8548053683,CANCEL,27,BUY,LIMIT,999400,25
77,8588654243,NEW,49,BUY,LIMIT,999600,30
78,8620847693,NEW,50,SELL,MARKET,,170
79,8620847693,CANCEL,36,BUY,LIMIT,1000100,32
80,8620847693,CANCEL,32,BUY,LIMIT,999900,23
81,8620847693,CANCEL,33,BUY,LIMIT,999700,24
82,8620847693,CANCEL,44,BUY,LIMIT,999600,30
83,8620847693,CANCEL,45,BUY,LIMIT,999600,28
84,8620847693,CANCEL,49,BUY,LIMIT,999600,30
85,8620847693,REDUCE,22,BUY,LIMIT,999200,25
86,8622917772,NEW,51,BUY,MARKET,,37
87,8622917772,CANCEL,41,SELL,LIMIT,1000500,31
88,8622917772,REDUCE,23,SELL,LIMIT,1000700,25
89,8768180426,NEW,52,SELL,LIMIT,1000400,24
90,9007160079,CANCEL,34,BUY,LIMIT,999100,31
91,9034863589,CANCEL,25,BUY,LIMIT,999100,25
92,9391533588,CANCEL,52,SELL,LIMIT,1000400,24
93,9757225350,NEW,53,SELL,LIMIT,999600,5
94,10010162489,NEW,54,SELL,LIMIT,1000100,23
95,10082919489,NEW,55,BUY,LIMIT,999100,40
96,10208004089,NEW,56,BUY,LIMIT,999200,25
97,10316332754,NEW,57,BUY,LIMIT,998900,28
98,10454869326,NEW,58,BUY,LIMIT,998100,30
