seq,ts_ns,event,order_id,side,type,price,quantity
1,1,NEW,1,BUY,LIMIT,1000000,300
2,1,NEW,2,SELL,LIMIT,1000100,300
3,1,NEW,3,BUY,LIMIT,999900,300
4,1,NEW,4,SELL,LIMIT,1000200,300
5,1,NEW,5,BUY,LIMIT,999800,300
6,1,NEW,6,SELL,LIMIT,1000300,300
7,1,NEW,7,BUY,LIMIT,999700,300
8,1,NEW,8,SELL,LIMIT,1000400,300
9,1,NEW,9,BUY,LIMIT,999600,300
10,1,NEW,10,SELL,LIMIT,1000500,300
11,1,NEW,11,BUY,LIMIT,999500,300
12,1,NEW,12,SELL,LIMIT,1000600,300
13,1,NEW,13,BUY,LIMIT,999400,300
14,1,NEW,14,SELL,LIMIT,1000700,300
15,1,NEW,15,BUY,LIMIT,999300,300
16,1,NEW,16,SELL,LIMIT,1000800,300
17,1,NEW,17,BUY,LIMIT,999200,300
18,1,NEW,18,SELL,LIMIT,1000900,300
19,1,NEW,19,BUY,LIMIT,999100,300
20,1,NEW,20,SELL,LIMIT,1001000,300
21,161604163,CANCEL,2,SELL,LIMIT,1000100,300
22,607006456,NEW,21,SELL,LIMIT,1001000,100
23,663749255,CANCEL,17,BUY,LIMIT,999200,300
24,749390690,NEW,22,SELL,LIMIT,1000200,100
25,808871376,CANCEL,15,BUY,LIMIT,999300,300
26,988366961,CANCEL,12,SELL,LIMIT,1000600,300
27,1046442991,CANCEL,13,BUY,LIMIT,999400,300
28,1215242205,NEW,23,BUY,LIMIT,999900,100
29,1328802788,NEW,24,BUY,LIMIT,999500,66
30,1470970759,CANCEL,19,BUY,LIMIT,999100,300
31,2513622005,CANCEL,5,BUY,LIMIT,999800,300
32,2789463763,CANCEL,20,SELL,LIMIT,1001000,300
33,2800327831,CANCEL,6,SELL,LIMIT,1000300,300
34,3067502571,CANCEL,8,SELL,LIMIT,1000400,300
35,3304199643,NEW,25,SELL,LIMIT,1000300,24
36,3380543097,CANCEL,14,SELL,LIMIT,1000700,300
37,3473908890,NEW,26,SELL,LIMIT,1001500,100
38,3911311495,NEW,27,SELL,LIMIT,1000300,100
39,4051244434,CANCEL,3,BUY,LIMIT,999900,300
40,5186591711,NEW,28,BUY,LIMIT,999800,30
41,5260164143,CANCEL,9,BUY,LIMIT,999600,300
42,5293759465,NEW,29,SELL,LIMIT,1000900,100
43,5384321366,CANCEL,16,SELL,LIMIT,1000800,300
44,6456297967,NEW,30,BUY,LIMIT,1000000,64
45,6653363153,CANCEL,11,BUY,LIMIT,999500,300
46,6733027377,CANCEL,4,SELL,LIMIT,1000200,300
47,6908187192,NEW,31,SELL,MARKET,,36
48,6908187192,REDUCE,1,BUY,LIMIT,1000000,264
49,7735228237,CANCEL,21,SELL,LIMIT,1001000,100
50,7842547205,CANCEL,7,BUY,LIMIT,999700,300
51,7842998732,NEW,32,BUY,LIMIT,1000000,28
52,8251132824,CANCEL,26,SELL,LIMIT,1001500,100
53,8897344502,CANCEL,18,SELL,LIMIT,1000900,300
54,9501986274,NEW,33,SELL,LIMIT,1000500,73
55,9774300553,NEW,34,BUY,LIMIT,999300,200
56,10786769826,NEW,35,SELL,LIMIT,1000200,100
57,11050967261,NEW,36,SELL,LIMIT,1001500,24
58,11266096529,CANCEL,29,SELL,LIMIT,1000900,100
59,11699179132,CANCEL,23,BUY,LIMIT,999900,100
60,12221834554,CANCEL,1,BUY,LIMIT,1000000,264
61,12678167204,NEW,37,BUY,LIMIT,999900,29
62,13511832818,NEW,38,SELL,LIMIT,1000600,54
63,13815125064,NEW,39,BUY,LIMIT,999700,100
64,13981614848,NEW,40,BUY,MARKET,,100
65,13981614848,CANCEL,22,SELL,LIMIT,1000200,100
66,14004396439,CANCEL,33,SELL,LIMIT,1000500,73
67,14644230478,CANCEL,30,BUY,LIMIT,1000000,64
68,14873793810,NEW,41,SELL,LIMIT,1000300,60
69,14966590155,CANCEL,10,SELL,LIMIT,1000500,300
70,16344047275,CANCEL,39,BUY,LIMIT,999700,100
71,16709716825,NEW,42,BUY,LIMIT,999800,36
72,17831371204,NEW,43,SELL,LIMIT,1000200,100
73,18207869060,CANCEL,35,SELL,LIMIT,1000200,100
74,18372099223,CANCEL,34,BUY,LIMIT,999300,200
75,19279728711,NEW,44,SELL,LIMIT,1000200,100
76,19793387561,NEW,45,SELL,LIMIT,1000300,100
77,22406148031,CANCEL,27,SELL,LIMIT,1000300,100
78,23562475280,CANCEL,24,BUY,LIMIT,999500,66
79,24615723501,NEW,46,SELL,LIMIT,1000200,1
80,24881464976,CANCEL,43,SELL,LIMIT,1000200,100
81,25147799724,NEW,47,SELL,LIMIT,1000700,67
82,25613737021,NEW,48,BUY,LIMIT,999900,72
83,27004839686,NEW,49,BUY,LIMIT,1000100,9
84,27543063141,NEW,50,SELL,LIMIT,1000700,100
85,28446862110,NEW,51,BUY,LIMIT,999200,100
86,28818873228,NEW,52,BUY,LIMIT,1000100,600
87,29504021202,CANCEL,52,BUY,LIMIT,1000100,600
88,30585062418,NEW,53,BUY,LIMIT,999000,100
89,30638454449,NEW,54,BUY,LIMIT,999600,100
90,31133944638,NEW,55,BUY,LIMIT,1000000,29
91,31477400054,NEW,56,SELL,MARKET,,300
92,31477400054,CANCEL,49,BUY,LIMIT,1000100,9
93,31477400054,CANCEL,32,BUY,LIMIT,1000000,28
94,31477400054,CANCEL,55,BUY,LIMIT,1000000,29
95,31477400054,CANCEL,37,BUY,LIMIT,999900,29
96,31477400054,CANCEL,48,BUY,LIMIT,999900,72
97,31477400054,CANCEL,28,BUY,LIMIT,999800,30
