seq,ts_ns,event,order_id,side,type,price,quantity
1,1,NEW,1,BUY,LIMIT,1000000,300
2,1,NEW,2,SELL,LIMIT,1000100,300
3,1,NEW,3,BUY,LIMIT,999900,300
4,1,NEW,4,SELL,LIMIT,1000200,300
5,1,NEW,5,BUY,LIMIT,999800,300
6,1,NEW,6,SELL,LIMIT,1000300,300
7,1,NEW,7,BUY,LIMIT,999700,300
8,1,NEW,8,SELL,LIMIT,1000400,300
9,1,NEW,9,BUY,LIMIT,999600,300
10,1,NEW,10,SELL,LIMIT,1000500,300
11,1,NEW,11,BUY,LIMIT,999500,300
12,1,NEW,12,SELL,LIMIT,1000600,300
13,1,NEW,13,BUY,LIMIT,999400,300
14,1,NEW,14,SELL,LIMIT,1000700,300
15,1,NEW,15,BUY,LIMIT,999300,300
16,1,NEW,16,SELL,LIMIT,1000800,300
17,1,NEW,17,BUY,LIMIT,999200,300
18,1,NEW,18,SELL,LIMIT,1000900,300
19,1,NEW,19,BUY,LIMIT,999100,300
20,1,NEW,20,SELL,LIMIT,1001000,300
21,56053485,CANCEL,2,SELL,LIMIT,1000100,300
22,210694245,NEW,21,BUY,LIMIT,999900,100
23,431483709,CANCEL,14,SELL,LIMIT,1000700,300
24,466106135,CANCEL,5,BUY,LIMIT,999800,300
25,478329392,CANCEL,13,BUY,LIMIT,999400,300
26,863385046,CANCEL,16,SELL,LIMIT,1000800,300
27,938486711,CANCEL,7,BUY,LIMIT,999700,300
28,1067075104,CANCEL,20,SELL,LIMIT,1001000,300
29,1077826152,NEW,22,BUY,LIMIT,999600,100
30,1177045365,CANCEL,9,BUY,LIMIT,999600,300
31,1180966043,CANCEL,4,SELL,LIMIT,1000200,300
32,1277741326,CANCEL,17,BUY,LIMIT,999200,300
33,1363832916,NEW,23,BUY,LIMIT,999700,100
34,1514024883,NEW,24,SELL,LIMIT,1000600,100
35,1742593377,CANCEL,15,BUY,LIMIT,999300,300
36,1928526605,CANCEL,18,SELL,LIMIT,1000900,300
37,1998621053,CANCEL,6,SELL,LIMIT,1000300,300
38,2027925640,CANCEL,11,BUY,LIMIT,999500,300
39,2041470302,NEW,25,BUY,LIMIT,999500,100
40,2109635204,CANCEL,12,SELL,LIMIT,1000600,300
41,2178506208,CANCEL,8,SELL,LIMIT,1000400,300
42,2199527349,CANCEL,10,SELL,LIMIT,1000500,300
43,2594778324,NEW,26,SELL,LIMIT,1000600,100
44,3137826920,NEW,27,SELL,LIMIT,1000200,100
45,3147225344,CANCEL,27,SELL,LIMIT,1000200,100
46,3185124968,CANCEL,19,BUY,LIMIT,999100,300
47,3354203872,NEW,28,SELL,LIMIT,1000300,100
48,3354380338,NEW,29,BUY,LIMIT,999600,100
49,3462521951,CANCEL,26,SELL,LIMIT,1000600,100
50,3552051678,NEW,30,SELL,LIMIT,1000600,100
51,3795110039,NEW,31,SELL,LIMIT,1000900,100
52,3819583449,NEW,32,BUY,LIMIT,1000100,100
53,4045043954,NEW,33,SELL,LIMIT,1000300,100
54,4213778452,CANCEL,3,BUY,LIMIT,999900,300
55,4362278331,NEW,34,SELL,LIMIT,1000800,100
56,4496388089,NEW,35,BUY,LIMIT,999900,100
57,4534969405,NEW,36,SELL,LIMIT,1000500,100
58,4773570390,CANCEL,33,SELL,LIMIT,1000300,100
59,4821025291,NEW,37,BUY,LIMIT,999500,100
60,5057661873,CANCEL,30,SELL,LIMIT,1000600,100
61,5153019271,NEW,38,BUY,LIMIT,999600,93
62,5441245870,CANCEL,38,BUY,LIMIT,999600,93
63,5514353630,CANCEL,21,BUY,LIMIT,999900,100
64,5839618468,CANCEL,37,BUY,LIMIT,999500,100
65,6011062562,CANCEL,1,BUY,LIMIT,1000000,300
66,6164692214,NEW,39,SELL,LIMIT,1001000,100
67,6475086331,CANCEL,29,BUY,LIMIT,999600,100
68,6793682247,NEW,40,BUY,LIMIT,999600,51
69,6807585518,NEW,41,SELL,LIMIT,1000800,100
70,7173634756,CANCEL,24,SELL,LIMIT,1000600,100
71,7494084205,NEW,42,BUY,LIMIT,1000000,83
72,7647965897,NEW,43,BUY,LIMIT,999500,100
73,7755132462,NEW,44,SELL,LIMIT,1001600,100
74,8001448099,CANCEL,22,BUY,LIMIT,999600,100
75,8325617322,NEW,45,SELL,LIMIT,1001100,84
76,8550142580,CANCEL,25,BUY,LIMIT,999500,100
77,8821785405,CANCEL,42,BUY,LIMIT,1000000,83
78,9312559035,NEW,46,SELL,LIMIT,1000800,100
79,9445901232,NEW,47,BUY,LIMIT,999700,77
80,9523896757,CANCEL,32,BUY,LIMIT,1000100,100
81,9548671149,CANCEL,46,SELL,LIMIT,1000800,100
82,9760947131,CANCEL,31,SELL,LIMIT,1000900,100
83,9993681288,CANCEL,34,SELL,LIMIT,1000800,100
84,10141798595,NEW,48,BUY,LIMIT,999900,100
85,10164837624,NEW,49,BUY,LIMIT,999500,100
86,10489082072,CANCEL,40,BUY,LIMIT,999600,51
87,10594750187,NEW,50,BUY,LIMIT,998800,100
88,10645026346,NEW,51,SELL,LIMIT,1000600,100
89,10850581380,CANCEL,48,BUY,LIMIT,999900,100
90,10968516615,CANCEL,41,SELL,LIMIT,1000800,100
91,10984469254,NEW,52,BUY,LIMIT,999800,100
92,11130980746,NEW,53,SELL,LIMIT,1000600,91
93,11403105629,NEW,54,BUY,LIMIT,1000100,67
94,11452344843,CANCEL,52,BUY,LIMIT,999800,100
95,11483410405,NEW,55,BUY,LIMIT,999700,88
96,11617203899,NEW,56,BUY,LIMIT,1000100,88
97,11806498563,NEW,57,SELL,LIMIT,1000900,100
