seq,ts_ns,event,order_id,side,type,price,quantity
1,1,NEW,1,BUY,LIMIT,1000000,300
2,1,NEW,2,SELL,LIMIT,1000100,300
3,1,NEW,3,BUY,LIMIT,999900,300
4,1,NEW,4,SELL,LIMIT,1000200,300
5,1,NEW,5,BUY,LIMIT,999800,300
6,1,NEW,6,SELL,LIMIT,1000300,300
7,1,NEW,7,BUY,LIMIT,999700,300
8,1,NEW,8,SELL,LIMIT,1000400,300
9,1,NEW,9,BUY,LIMIT,999600,300
10,1,NEW,10,SELL,LIMIT,1000500,300
11,1,NEW,11,BUY,LIMIT,999500,300
12,1,NEW,12,SELL,LIMIT,1000600,300
13,1,NEW,13,BUY,LIMIT,999400,300
14,1,NEW,14,SELL,LIMIT,1000700,300
15,1,NEW,15,BUY,LIMIT,999300,300
16,1,NEW,16,SELL,LIMIT,1000800,300
17,1,NEW,17,BUY,LIMIT,999200,300
18,1,NEW,18,SELL,LIMIT,1000900,300
19,1,NEW,19,BUY,LIMIT,999100,300
20,1,NEW,20,SELL,LIMIT,1001000,300
21,33991997,CANCEL,14,SELL,LIMIT,1000700,300
22,40563707,NEW,21,SELL,LIMIT,1000700,28
23,176093374,CANCEL,5,BUY,LIMIT,999800,300
24,222946673,NEW,22,BUY,LIMIT,999400,28
25,290773023,CANCEL,10,SELL,LIMIT,1000500,300
26,516943572,CANCEL,11,BUY,LIMIT,999500,300
27,527640379,CANCEL,17,BUY,LIMIT,999200,300
28,564690722,CANCEL,3,BUY,LIMIT,999900,300
29,706044585,NEW,23,SELL,LIMIT,1000900,40
30,775662802,CANCEL,1,BUY,LIMIT,1000000,300
31,822310750,CANCEL,8,SELL,LIMIT,1000400,300
32,824801102,CANCEL,15,BUY,LIMIT,999300,300
33,839315801,CANCEL,16,SELL,LIMIT,1000800,300
34,894773871,CANCEL,19,BUY,LIMIT,999100,300
35,1094845355,NEW,24,SELL,LIMIT,1000700,31
36,1200506975,CANCEL,2,SELL,LIMIT,1000100,300
37,1227202236,CANCEL,12,SELL,LIMIT,1000600,300
38,1276920154,CANCEL,6,SELL,LIMIT,1000300,300
39,1508762397,CANCEL,20,SELL,LIMIT,1001000,300
40,1572629944,CANCEL,18,SELL,LIMIT,1000900,300
41,1600577527,NEW,25,BUY,LIMIT,999400,33
42,1612356364,CANCEL,23,SELL,LIMIT,1000900,40
43,1638737429,NEW,26,SELL,LIMIT,1001000,25
44,1731549632,NEW,27,BUY,LIMIT,998700,25
45,1768203110,NEW,28,BUY,LIMIT,1000000,26
46,1876533078,CANCEL,7,BUY,LIMIT,999700,300
47,1898611866,CANCEL,13,BUY,LIMIT,999400,300
48,1965206667,NEW,29,BUY,LIMIT,999400,34
49,2042349036,NEW,30,BUY,LIMIT,999300,29
50,2080333759,NEW,31,BUY,LIMIT,999400,25
51,2080477984,CANCEL,9,BUY,LIMIT,999600,300
52,2522154404,CANCEL,25,BUY,LIMIT,999400,33
53,2583197592,NEW,32,BUY,LIMIT,999600,100
54,2775532571,NEW,33,SELL,LIMIT,1001000,29
55,3005494473,CANCEL,28,BUY,LIMIT,1000000,26
56,3059032168,NEW,34,SELL,LIMIT,1000600,38
57,3122342331,CANCEL,21,SELL,LIMIT,1000700,28
58,3192344870,NEW,35,BUY,LIMIT,999300,24
59,3342590156,NEW,36,BUY,LIMIT,998700,30
60,3515139684,NEW,37,SELL,LIMIT,1000300,35
61,3521030455,CANCEL,32,BUY,LIMIT,999600,100
62,3527925783,NEW,38,SELL,LIMIT,1000200,34
63,3607246463,NEW,39,BUY,LIMIT,999700,29
64,3645499230,NEW,40,SELL,LIMIT,1001200,34
65,3945838153,CANCEL,27,BUY,LIMIT,998700,25
66,3949742126,CANCEL,4,SELL,LIMIT,1000200,300
67,3969249600,NEW,41,SELL,LIMIT,1000600,32
68,4048738598,NEW,42,SELL,LIMIT,1000700,7
69,4237663927,NEW,43,BUY,LIMIT,999900,100
70,4643640626,NEW,44,SELL,LIMIT,1000800,24
71,5077935675,NEW,45,BUY,LIMIT,999300,25
72,5187222090,NEW,46,SELL,LIMIT,1000900,19
73,5282941115,NEW,47,SELL,LIMIT,1001400,21
74,5690659046,CANCEL,43,BUY,LIMIT,999900,100
75,5832938410,CANCEL,24,SELL,LIMIT,1000700,31
76,6602921667,NEW,48,BUY,LIMIT,999300,30
77,6796034944,CANCEL,34,SELL,LIMIT,1000600,38
78,7094462493,NEW,49,BUY,LIMIT,999300,28
79,7623597517,CANCEL,35,BUY,LIMIT,999300,24
80,7693598240,CANCEL,40,SELL,LIMIT,1001200,34
81,7889891144,CANCEL,47,SELL,LIMIT,1001400,21
82,8343870771,NEW,50,SELL,LIMIT,1000600,31
83,8483550880,NEW,51,BUY,LIMIT,999500,24
84,8968980761,NEW,52,BUY,LIMIT,999300,28
85,9034159603,CANCEL,26,SELL,LIMIT,1001000,25
86,9147389565,NEW,53,SELL,LIMIT,1000400,25
87,9402879644,NEW,54,SELL,LIMIT,1000800,26
88,9559076084,NEW,55,SELL,LIMIT,1001000,54
89,9574965184,NEW,56,BUY,LIMIT,999300,33
90,9725185637,NEW,57,SELL,LIMIT,1000700,100
91,9824648702,NEW,58,BUY,LIMIT,999300,25
92,9834476403,NEW,59,SELL,LIMIT,1000600,31
93,9948895763,CANCEL,31,BUY,LIMIT,999400,25
94,10330030902,NEW,60,BUY,LIMIT,999200,24
95,10513723039,CANCEL,57,SELL,LIMIT,1000700,100
96,10697813875,NEW,61,SELL,LIMIT,1000900,24
97,10889530752,NEW,62,BUY,LIMIT,998900,38
98,10992328464,NEW,63,SELL,LIMIT,1000800,25
