seq,ts_ns,event,order_id,side,type,price,quantity
1,1,NEW,1,BUY,LIMIT,1000000,300
2,1,NEW,2,SELL,LIMIT,1000100,300
3,1,NEW,3,BUY,LIMIT,999900,300
4,1,NEW,4,SELL,LIMIT,1000200,300
5,1,NEW,5,BUY,LIMIT,999800,300
6,1,NEW,6,SELL,LIMIT,1000300,300
7,1,NEW,7,BUY,LIMIT,999700,300
8,1,NEW,8,SELL,LIMIT,1000400,300
9,1,NEW,9,BUY,LIMIT,999600,300
10,1,NEW,10,SELL,LIMIT,1000500,300
11,1,NEW,11,BUY,LIMIT,999500,300
12,1,NEW,12,SELL,LIMIT,1000600,300
13,1,NEW,13,BUY,LIMIT,999400,300
14,1,NEW,14,SELL,LIMIT,1000700,300
15,1,NEW,15,BUY,LIMIT,999300,300
16,1,NEW,16,SELL,LIMIT,1000800,300
17,1,NEW,17,BUY,LIMIT,999200,300
18,1,NEW,18,SELL,LIMIT,1000900,300
19,1,NEW,19,BUY,LIMIT,999100,300
20,1,NEW,20,SELL,LIMIT,1001000,300
21,161341126,CANCEL,9,BUY,LIMIT,999600,300
22,192424841,NEW,21,SELL,LIMIT,1001000,100
23,249072807,CANCEL,6,SELL,LIMIT,1000300,300
24,660196778,CANCEL,13,BUY,LIMIT,999400,300
25,788940265,CANCEL,5,BUY,LIMIT,999800,300
26,854653243,CANCEL,16,SELL,LIMIT,1000800,300
27,1218208371,CANCEL,10,SELL,LIMIT,1000500,300
28,2432873293,CANCEL,14,SELL,LIMIT,1000700,300
29,2490445279,CANCEL,21,SELL,LIMIT,1001000,100
30,2589609341,NEW,22,BUY,LIMIT,999400,100
31,2718965809,CANCEL,20,SELL,LIMIT,1001000,300
32,2808758335,NEW,23,BUY,LIMIT,999400,19
33,2826840544,NEW,24,BUY,LIMIT,999400,18
34,3182588124,CANCEL,2,SELL,LIMIT,1000100,300
35,3420843487,CANCEL,15,BUY,LIMIT,999300,300
36,3433556127,NEW,25,SELL,LIMIT,1000200,600
37,3713574645,CANCEL,11,BUY,LIMIT,999500,300
38,3884566917,CANCEL,8,SELL,LIMIT,1000400,300
39,4242540276,NEW,26,SELL,LIMIT,1000600,30
40,4680604103,CANCEL,26,SELL,LIMIT,1000600,30
41,5011617282,CANCEL,3,BUY,LIMIT,999900,300
42,5742179627,NEW,27,BUY,LIMIT,999900,52
43,6255521474,NEW,28,SELL,LIMIT,1000200,100
44,6464805689,CANCEL,1,BUY,LIMIT,1000000,300
45,6698725346,CANCEL,7,BUY,LIMIT,999700,300
46,7145631554,CANCEL,12,SELL,LIMIT,1000600,300
47,7262149546,CANCEL,25,SELL,LIMIT,1000200,600
48,7477768457,NEW,29,BUY,LIMIT,999600,63
49,9939324447,NEW,30,BUY,LIMIT,999800,7
50,10517102299,NEW,31,SELL,LIMIT,1000100,64
51,10771073588,CANCEL,4,SELL,LIMIT,1000200,300
52,11749876066,CANCEL,17,BUY,LIMIT,999200,300
53,11924001651,NEW,32,BUY,MARKET,,49
54,11924001651,REDUCE,31,SELL,LIMIT,1000100,15
55,11999644934,NEW,33,SELL,LIMIT,1000200,13
56,12225567103,NEW,34,SELL,LIMIT,1000600,100
57,12657792387,NEW,35,SELL,LIMIT,1000700,64
58,12944927883,CANCEL,34,SELL,LIMIT,1000600,100
59,13083283621,NEW,36,SELL,LIMIT,1000200,60
60,13566495303,NEW,37,BUY,LIMIT,999800,28
61,14036493222,CANCEL,18,SELL,LIMIT,1000900,300
62,14238954104,NEW,38,BUY,LIMIT,999200,29
63,14908723800,NEW,39,BUY,LIMIT,999300,100
64,15071077473,NEW,40,SELL,LIMIT,1000900,73
65,15363092238,NEW,41,SELL,LIMIT,1000600,200
66,16443761542,NEW,42,SELL,LIMIT,1000800,8
67,16517509321,NEW,43,SELL,LIMIT,1000500,24
68,16753715697,CANCEL,41,SELL,LIMIT,1000600,200
69,16871225163,CANCEL,27,BUY,LIMIT,999900,52
70,17460028037,NEW,44,SELL,LIMIT,999900,97
71,18386146806,CANCEL,22,BUY,LIMIT,999400,100
72,19253264638,CANCEL,40,SELL,LIMIT,1000900,73
73,19296851871,NEW,45,BUY,LIMIT,998400,200
74,19837080492,NEW,46,SELL,LIMIT,1000200,200
75,20241599439,CANCEL,19,BUY,LIMIT,999100,300
76,20253845818,NEW,47,BUY,LIMIT,998800,23
77,20687773104,CANCEL,36,SELL,LIMIT,1000200,60
78,21351220767,CANCEL,46,SELL,LIMIT,1000200,200
79,22181990182,NEW,48,SELL,LIMIT,1000400,77
80,22252563890,NEW,49,BUY,LIMIT,999700,60
81,22350968046,NEW,50,BUY,LIMIT,998800,100
82,23169395089,CANCEL,50,BUY,LIMIT,998800,100
83,23936310574,NEW,51,BUY,MARKET,,100
84,23936310574,CANCEL,44,SELL,LIMIT,999900,97
85,23936310574,REDUCE,31,SELL,LIMIT,1000100,12
86,24071595902,NEW,52,BUY,LIMIT,999800,36
87,25130403684,NEW,53,SELL,LIMIT,1000100,30
88,25642588105,NEW,54,BUY,LIMIT,999600,100
89,26687726594,CANCEL,37,BUY,LIMIT,999800,28
90,27766454510,CANCEL,45,BUY,LIMIT,998400,200
91,28583322481,CANCEL,54,BUY,LIMIT,999600,100
92,29087239214,CANCEL,48,SELL,LIMIT,1000400,77
93,29478084221,CANCEL,49,BUY,LIMIT,999700,60
94,29502731499,CANCEL,28,SELL,LIMIT,1000200,100
95,30624249456,NEW,55,SELL,LIMIT,1000000,100
96,31690153976,NEW,56,SELL,LIMIT,1001100,200
97,31699589557,NEW,57,SELL,LIMIT,1000400,54
