seq,ts_ns,event,order_id,side,type,price,quantity
1,1,NEW,1,BUY,LIMIT,1000000,300
2,1,NEW,2,SELL,LIMIT,1000100,300
3,1,NEW,3,BUY,LIMIT,999900,300
4,1,NEW,4,SELL,LIMIT,1000200,300
5,1,NEW,5,BUY,LIMIT,999800,300
6,1,NEW,6,SELL,LIMIT,1000300,300
7,1,NEW,7,BUY,LIMIT,999700,300
8,1,NEW,8,SELL,LIMIT,1000400,300
9,1,NEW,9,BUY,LIMIT,999600,300
10,1,NEW,10,SELL,LIMIT,1000500,300
11,1,NEW,11,BUY,LIMIT,999500,300
12,1,NEW,12,SELL,LIMIT,1000600,300
13,1,NEW,13,BUY,LIMIT,999400,300
14,1,NEW,14,SELL,LIMIT,1000700,300
15,1,NEW,15,BUY,LIMIT,999300,300
16,1,NEW,16,SELL,LIMIT,1000800,300
17,1,NEW,17,BUY,LIMIT,999200,300
18,1,NEW,18,SELL,LIMIT,1000900,300
19,1,NEW,19,BUY,LIMIT,999100,300
20,1,NEW,20,SELL,LIMIT,1001000,300
21,56027065,CANCEL,14,SELL,LIMIT,1000700,300
22,66832132,NEW,21,BUY,LIMIT,999800,100
23,287514671,CANCEL,19,BUY,LIMIT,999100,300
24,363569687,NEW,22,SELL,LIMIT,1000500,100
25,472581777,CANCEL,4,SELL,LIMIT,1000200,300
26,834704141,CANCEL,9,BUY,LIMIT,999600,300
27,851759299,CANCEL,15,BUY,LIMIT,999300,300
28,910561109,CANCEL,3,BUY,LIMIT,999900,300
29,1133757776,NEW,23,SELL,LIMIT,1000600,100
30,1242658161,CANCEL,1,BUY,LIMIT,1000000,300
31,1315180481,CANCEL,8,SELL,LIMIT,1000400,300
32,1319025650,CANCEL,11,BUY,LIMIT,999500,300
33,1341263915,CANCEL,6,SELL,LIMIT,1000300,300
34,1425489116,CANCEL,13,BUY,LIMIT,999400,300
35,1726300597,NEW,24,BUY,LIMIT,999600,100
36,1882942303,CANCEL,16,SELL,LIMIT,1000800,300
37,1922025027,CANCEL,21,BUY,LIMIT,999800,100
38,2188721139,NEW,25,BUY,LIMIT,999500,100
39,2258757820,CANCEL,5,BUY,LIMIT,999800,300
40,2345497212,CANCEL,7,BUY,LIMIT,999700,300
41,2512381256,CANCEL,2,SELL,LIMIT,1000100,300
42,2556249973,CANCEL,10,SELL,LIMIT,1000500,300
43,2631096205,NEW,26,SELL,LIMIT,1000400,100
44,2905659479,CANCEL,18,SELL,LIMIT,1000900,300
45,3432307331,CANCEL,24,BUY,LIMIT,999600,100
46,3456331577,NEW,27,SELL,LIMIT,1001000,100
47,3851098212,CANCEL,12,SELL,LIMIT,1000600,300
48,4349096945,CANCEL,23,SELL,LIMIT,1000600,100
49,4436206056,NEW,28,BUY,LIMIT,999800,90
50,4535356302,NEW,29,SELL,LIMIT,1000500,100
51,4583067280,NEW,30,BUY,LIMIT,999800,100
52,4583244160,CANCEL,20,SELL,LIMIT,1001000,300
53,4764152486,CANCEL,17,BUY,LIMIT,999200,300
54,4843375678,NEW,31,BUY,LIMIT,999500,5
55,5107885821,NEW,32,BUY,LIMIT,998900,100
56,5415339488,NEW,33,SELL,LIMIT,1000500,100
57,5863731128,NEW,34,BUY,LIMIT,999500,100
58,6290259622,NEW,35,BUY,LIMIT,998900,100
59,6310821257,NEW,36,SELL,LIMIT,1001300,85
60,6639306861,CANCEL,32,BUY,LIMIT,998900,100
61,6947404424,CANCEL,28,BUY,LIMIT,999800,90
62,7550685348,NEW,37,BUY,LIMIT,998900,100
63,7601632432,CANCEL,25,BUY,LIMIT,999500,100
64,7606188016,NEW,38,BUY,LIMIT,1000200,90
65,8313591338,CANCEL,38,BUY,LIMIT,1000200,90
66,8557016523,CANCEL,33,SELL,LIMIT,1000500,100
67,8850920557,NEW,39,SELL,LIMIT,1001300,100
68,9155370832,CANCEL,39,SELL,LIMIT,1001300,100
69,9441735200,NEW,40,SELL,LIMIT,1000200,100
70,9614633750,CANCEL,30,BUY,LIMIT,999800,100
71,9625881956,CANCEL,35,BUY,LIMIT,998900,100
72,9725017530,CANCEL,22,SELL,LIMIT,1000500,100
73,9786699126,CANCEL,40,SELL,LIMIT,1000200,100
74,10376612963,NEW,41,SELL,LIMIT,1000200,100
75,10846908481,NEW,42,BUY,LIMIT,999600,200
76,10859715796,NEW,43,BUY,LIMIT,999300,100
77,11196106849,CANCEL,41,SELL,LIMIT,1000200,100
78,11534714885,CANCEL,26,SELL,LIMIT,1000400,100
79,11886681131,NEW,44,BUY,LIMIT,999400,51
80,11902424019,NEW,45,BUY,LIMIT,999900,100
81,11913313492,NEW,46,SELL,LIMIT,1000600,100
82,12063783343,NEW,47,SELL,LIMIT,1001400,100
83,12574495709,CANCEL,36,SELL,LIMIT,1001300,85
84,12629144685,NEW,48,SELL,LIMIT,1000700,100
85,12743417382,CANCEL,47,SELL,LIMIT,1001400,100
86,12788006191,CANCEL,34,BUY,LIMIT,999500,100
87,13162105874,NEW,49,SELL,LIMIT,1000500,100
88,13556022457,NEW,50,BUY,LIMIT,999900,100
89,13927124436,CANCEL,27,SELL,LIMIT,1001000,100
90,14088680258,NEW,51,SELL,LIMIT,1001000,93
91,14305562037,NEW,52,BUY,LIMIT,1000200,77
92,14388826354,NEW,53,SELL,LIMIT,1001000,100
93,14413445769,NEW,54,BUY,LIMIT,1000300,80
94,14604195904,NEW,55,BUY,LIMIT,999500,100
95,14714634197,NEW,56,BUY,LIMIT,1000000,100
96,14996293990,CANCEL,52,BUY,LIMIT,1000200,77
97,14998891556,CANCEL,42,BUY,LIMIT,999600,200
